Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,1124472,0,0,0
sil_ch02,Monitor CH2,1124472,0.0635193660855293,-0.030116431415081,0.121352158486843
sil_ch03,Monitor CH3,1124472,0,0,0
sil_ch04,Monitor CH4,1124472,0.265325784683228,-0.00147441937588155,0.269481331110001
sil_ch05,Monitor CH5,1124472,0.599123179912567,0,0.999958992004395
sil_ch06,Monitor CH6,1124472,0.00518662249669433,-0.000306796166114509,0.00521738594397902
sil_ch07,Monitor CH7,1124472,0,0,0
sil_ch08,Monitor CH8,1124472,0,0,0
sil_ch09,Monitor CH9,1124472,0,0,0
sil_ch10,Monitor CH10,1124472,0.0865944921970367,0,0.0865944921970367
sil_ch11,Monitor CH11,1124472,0,0,0
sil_ch12,Monitor CH12,1124472,0,0,0
sil_ch13,Monitor CH13,1124472,0.103176549077034,-0.276324510574341,0.277575492858887
sil_ch14,Monitor CH14,1124472,-0.252561062574387,-0.255197286605835,0.254949122667313
sil_ch15,Monitor CH15,1124472,0.0121760768815875,-0.0248087644577026,0.0241999626159668
sil_ch16,Monitor CH16,1124472,-0.0195078700780869,-0.0231985338032246,0.0226712971925735
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),600001,0.0929199195286108,-5.00110770184853e-09,0.0929199195286108
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),600001,1.03652276428555,-2.78136412913752,2.79275416054579
sil_stator_id_a,Stator measurements.Stator current is_d (A),600001,2.52619025157917,-2.56390422474979,2.56587840579034
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),600001,0.833935816406832,-5.80450798292344e-07,0.833935816406832
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),600001,0.00388080672925219,-5.84158452572774e-05,0.00643680180516567
sil_rotor_flux_q_vs,Rotor measurements.Rotor flux phir_q (V s),600001,0.000485074723796248,-0.00299212009479276,0.00301959083459253
sil_rotor_flux_d_vs,Rotor measurements.Rotor flux phir_d (V s),600001,0.0029502431799959,-0.00301623134021809,0.00302316671364881
sil_stator_vq_v,Stator measurements.Stator voltage vs_q (V),600001,-0.10365293226558,-32.3008299312693,32.3002054524376
sil_stator_vd_v,Stator measurements.Stator voltage vs_d (V),600001,-0.252620272164905,-28.0598025300585,28.0598821199032
