Variable,Signal,Samples,Final,Minimum,Maximum
sil_ch01,Monitor CH1,192386,0.300000011920929,0,0.300000011920929
sil_ch02,Monitor CH2,192386,0.298824906349182,0,0.305307596921921
sil_ch03,Monitor CH3,192386,0.100000001490116,0,0.100000001490116
sil_ch04,Monitor CH4,192386,0.10199324041605,0,0.105526305735111
sil_ch05,Monitor CH5,192386,0.0499746799468994,0,0.0499746799468994
sil_ch06,Monitor CH6,192386,0.000207427801797166,-0.000306796166114509,0.000334816781105474
sil_ch07,Monitor CH7,192386,0,0,0
sil_ch08,Monitor CH8,192386,0,0,0
sil_ch09,Monitor CH9,192386,0.0848464965820312,0,0.327334970235825
sil_ch10,Monitor CH10,192386,0.0418337546288967,0,0.109111659228802
sil_ch11,Monitor CH11,192386,0,0,0
sil_ch12,Monitor CH12,192386,0,0,0
sil_ch13,Monitor CH13,192386,0.252711832523346,0,0.303988128900528
sil_ch14,Monitor CH14,192386,0.189303115010262,0,0.193025380373001
sil_ch15,Monitor CH15,192386,0.0181119050830603,0,0.0946689695119858
sil_ch16,Monitor CH16,192386,0.0166080445051193,0,0.0337433256208897
sil_rotor_angle_rad,Mechanical.Rotor angle thetam (rad),100001,0.000868966311536455,-1.90495208929889e-06,0.000868966311536455
sil_stator_iq_a,Stator measurements.Stator current  is_q (A),100001,2.50719353703549,0,3.07790091375615
sil_stator_id_a,Stator measurements.Stator current is_d (A),100001,-1.89662770636392,-1.953247965639,0
sil_rotor_speed_rad_s,Mechanical.Rotor speed (wm),100001,0.0278597322228651,-0.00026798641962271,0.0278597322228651
sil_torque_nm,Mechanical.Electromagnetic torque Te (N*m),100001,0.000844261894264934,-0.000386499294285807,0.00114328786368277
