generation,time_seconds,channel_0,channel_1
2,0.0,-8.07046890258789e-05,-0.9998824596405029
2,0.001,-0.30905741453170776,-0.9509198069572449
2,0.002,-0.5877814292907715,-0.8088744878768921
2,0.003,-0.8089693188667297,-0.5876508951187134
2,0.004,-0.8089693188667297,-0.5876508951187134
2,0.005,-0.9509696364402771,-0.30890393257141113
2,0.006,-0.9998824596405029,8.07046890258789e-05
2,0.007,-0.9509198069572449,0.30905741453170776
2,0.008,-0.8088744878768921,0.5877814292907715
2,0.009,-0.30890393257141113,0.9509696364402771
2,0.01,-0.30890393257141113,0.9509696364402771
2,0.011,8.07046890258789e-05,0.9998824596405029
2,0.012,0.30905741453170776,0.9509198069572449
2,0.013,0.5877814292907715,0.8088744878768921
2,0.014,0.8089693188667297,0.5876508951187134
2,0.015,0.9509696364402771,0.30890393257141113
2,0.016,0.9998824596405029,-8.07046890258789e-05
2,0.017,0.9509198069572449,-0.30905741453170776
2,0.018,0.8088744878768921,-0.5877814292907715
2,0.019,0.5876508951187134,-0.8089693188667297
2,0.02,0.30890393257141113,-0.9509696364402771
2,0.021,-8.07046890258789e-05,-0.9998824596405029
2,0.022,-0.30905741453170776,-0.9509198069572449
2,0.023,-0.5877814292907715,-0.8088744878768921
2,0.024,-0.8089693188667297,-0.5876508951187134
2,0.025,-0.9509696364402771,-0.30890393257141113
2,0.026,-0.9998824596405029,8.07046890258789e-05
2,0.027,-0.9509198069572449,0.30905741453170776
2,0.028,-0.8088744878768921,0.5877814292907715
2,0.029,-0.5876508951187134,0.8089693188667297
2,0.03,-0.30890393257141113,0.9509696364402771
2,0.031,8.07046890258789e-05,0.9998824596405029
2,0.032,0.30905741453170776,0.9509198069572449
2,0.033,0.5877814292907715,0.8088744878768921
2,0.034,0.8089693188667297,0.5876508951187134
2,0.035,0.9509696364402771,0.30890393257141113
2,0.036,0.9998824596405029,-8.07046890258789e-05
2,0.037,0.9509198069572449,-0.30905741453170776
2,0.038,0.8088744878768921,-0.5877814292907715
2,0.039,0.5876508951187134,-0.8089693188667297
2,0.04,0.30890393257141113,-0.9509696364402771
2,0.041,-8.07046890258789e-05,-0.9998824596405029
2,0.042,-0.30905741453170776,-0.9509198069572449
2,0.043,-0.5877814292907715,-0.8088744878768921
2,0.044,-0.8089693188667297,-0.5876508951187134
2,0.045,-0.9509696364402771,-0.30890393257141113
2,0.046,-0.9998824596405029,8.07046890258789e-05
2,0.047,-0.9509198069572449,0.30905741453170776
2,0.048,-0.8088744878768921,0.5877814292907715
2,0.049,-0.5876508951187134,0.8089693188667297
2,0.05,-0.30890393257141113,0.9509696364402771
2,0.051,8.07046890258789e-05,0.9998824596405029
2,0.052,0.30905741453170776,0.9509198069572449
2,0.053,0.5877814292907715,0.8088744878768921
2,0.054,0.8089693188667297,0.5876508951187134
2,0.055,0.9998824596405029,-8.07046890258789e-05
2,0.056,0.9998824596405029,-8.07046890258789e-05
2,0.057,0.9509198069572449,-0.30905741453170776
2,0.058,0.8088744878768921,-0.5877814292907715
2,0.059,0.5876508951187134,-0.8089693188667297
2,0.06,-8.07046890258789e-05,-0.9998824596405029
2,0.061,-8.07046890258789e-05,-0.9998824596405029
2,0.062,-0.30905741453170776,-0.9509198069572449
2,0.063,-0.5877814292907715,-0.8088744878768921
2,0.064,-0.8089693188667297,-0.5876508951187134
2,0.065,-0.9509696364402771,-0.30890393257141113
2,0.066,-0.9998824596405029,8.07046890258789e-05
2,0.067,-0.9509198069572449,0.30905741453170776
2,0.068,-0.8088744878768921,0.5877814292907715
2,0.069,-0.5876508951187134,0.8089693188667297
2,0.07,-0.30890393257141113,0.9509696364402771
2,0.071,8.07046890258789e-05,0.9998824596405029
2,0.072,0.30905741453170776,0.9509198069572449
2,0.073,0.5877814292907715,0.8088744878768921
2,0.074,0.8089693188667297,0.5876508951187134
2,0.075,0.9509696364402771,0.30890393257141113
2,0.076,0.9998824596405029,-8.07046890258789e-05
2,0.077,0.9509198069572449,-0.30905741453170776
2,0.078,0.8088744878768921,-0.5877814292907715
2,0.079,0.5876508951187134,-0.8089693188667297
2,0.08,0.30890393257141113,-0.9509696364402771
2,0.081,-8.07046890258789e-05,-0.9998824596405029
2,0.082,-0.30905741453170776,-0.9509198069572449
2,0.083,-0.5877814292907715,-0.8088744878768921
2,0.084,-0.8089693188667297,-0.5876508951187134
2,0.085,-0.9509696364402771,-0.30890393257141113
2,0.086,-0.9998824596405029,8.07046890258789e-05
2,0.087,-0.9509198069572449,0.30905741453170776
2,0.088,-0.8088744878768921,0.5877814292907715
2,0.089,-0.5876508951187134,0.8089693188667297
2,0.09,-0.30890393257141113,0.9509696364402771
2,0.091,8.07046890258789e-05,0.9998824596405029
2,0.092,0.30905741453170776,0.9509198069572449
2,0.093,0.5877814292907715,0.8088744878768921
2,0.094,0.8089693188667297,0.5876508951187134
2,0.095,0.9509696364402771,0.30890393257141113
2,0.096,0.9998824596405029,-8.07046890258789e-05
2,0.097,0.9509198069572449,-0.30905741453170776
2,0.098,0.8088744878768921,-0.5877814292907715
2,0.099,0.5876508951187134,-0.8089693188667297
2,0.1,0.30890393257141113,-0.9509696364402771
2,0.101,-8.07046890258789e-05,-0.9998824596405029
2,0.102,-0.30905741453170776,-0.9509198069572449
2,0.103,-0.5877814292907715,-0.8088744878768921
2,0.104,-0.8089693188667297,-0.5876508951187134
2,0.105,-0.9509696364402771,-0.30890393257141113
2,0.106,-0.9998824596405029,8.07046890258789e-05
2,0.107,-0.8088744878768921,0.5877814292907715
2,0.108,-0.8088744878768921,0.5877814292907715
2,0.109,-0.5876508951187134,0.8089693188667297
2,0.11,-0.30890393257141113,0.9509696364402771
2,0.111,8.07046890258789e-05,0.9998824596405029
2,0.112,0.5877814292907715,0.8088744878768921
2,0.113,0.5877814292907715,0.8088744878768921
2,0.114,0.8089693188667297,0.5876508951187134
2,0.115,0.9509696364402771,0.30890393257141113
2,0.116,0.9998824596405029,-8.07046890258789e-05
2,0.117,0.9509198069572449,-0.30905741453170776
2,0.118,0.8088744878768921,-0.5877814292907715
2,0.119,0.5876508951187134,-0.8089693188667297
2,0.12,0.30890393257141113,-0.9509696364402771
2,0.121,-8.07046890258789e-05,-0.9998824596405029
2,0.122,-0.30905741453170776,-0.9509198069572449
2,0.123,-0.5877814292907715,-0.8088744878768921
2,0.124,-0.8089693188667297,-0.5876508951187134
2,0.125,-0.9509696364402771,-0.30890393257141113
2,0.126,-0.9998824596405029,8.07046890258789e-05
2,0.127,-0.9509198069572449,0.30905741453170776
2,0.128,-0.8088744878768921,0.5877814292907715
2,0.129,-0.5876508951187134,0.8089693188667297
2,0.13,-0.30890393257141113,0.9509696364402771
2,0.131,8.07046890258789e-05,0.9998824596405029
2,0.132,0.30905741453170776,0.9509198069572449
2,0.133,0.5877814292907715,0.8088744878768921
2,0.134,0.8089693188667297,0.5876508951187134
2,0.135,0.9509696364402771,0.30890393257141113
2,0.136,0.9998824596405029,-8.07046890258789e-05
2,0.137,0.9509198069572449,-0.30905741453170776
2,0.138,0.8088744878768921,-0.5877814292907715
2,0.139,0.5876508951187134,-0.8089693188667297
2,0.14,0.30890393257141113,-0.9509696364402771
2,0.141,-8.07046890258789e-05,-0.9998824596405029
2,0.142,-0.30905741453170776,-0.9509198069572449
2,0.143,-0.5877814292907715,-0.8088744878768921
2,0.144,-0.8089693188667297,-0.5876508951187134
2,0.145,-0.9509696364402771,-0.30890393257141113
2,0.146,-0.9998824596405029,8.07046890258789e-05
2,0.147,-0.9509198069572449,0.30905741453170776
2,0.148,-0.8088744878768921,0.5877814292907715
2,0.149,-0.5876508951187134,0.8089693188667297
2,0.15,-0.30890393257141113,0.9509696364402771
2,0.151,8.07046890258789e-05,0.9998824596405029
2,0.152,0.30905741453170776,0.9509198069572449
2,0.153,0.5877814292907715,0.8088744878768921
2,0.154,0.8089693188667297,0.5876508951187134
2,0.155,0.9509696364402771,0.30890393257141113
2,0.156,0.9998824596405029,-8.07046890258789e-05
2,0.157,0.9509198069572449,-0.30905741453170776
2,0.158,0.8088744878768921,-0.5877814292907715
2,0.159,0.30890393257141113,-0.9509696364402771
2,0.16,0.30890393257141113,-0.9509696364402771
2,0.161,-8.07046890258789e-05,-0.9998824596405029
2,0.162,-0.5877814292907715,-0.8088744878768921
2,0.163,-0.5877814292907715,-0.8088744878768921
2,0.164,-0.8089693188667297,-0.5876508951187134
2,0.165,-0.9509696364402771,-0.30890393257141113
2,0.166,-0.9998824596405029,8.07046890258789e-05
2,0.167,-0.9509198069572449,0.30905741453170776
2,0.168,-0.8088744878768921,0.5877814292907715
2,0.169,-0.5876508951187134,0.8089693188667297
2,0.17,-0.30890393257141113,0.9509696364402771
2,0.171,8.07046890258789e-05,0.9998824596405029
2,0.172,0.30905741453170776,0.9509198069572449
2,0.173,0.5877814292907715,0.8088744878768921
